model,train_dataset,eval_dataset,eval_condition,accuracy,balanced_accuracy,f1_weighted
EffNetB0,IDRiD,APTOS,fsrcnn_degraded,0.6239759694156198,0.43268802573771764,0.6014488864902701
EffNetB0,IDRiD,APTOS,srcnn_original,0.6171490988530858,0.43320008386809306,0.6055859751628068
EffNetB0,IDRiD,APTOS,srcnn_degraded,0.5805570726379028,0.4219841925377201,0.578731903873746
ViT_B16,IDRiD,IDRiD,original_val,0.5,0.3211211211211211,0.3903088062380098
ViT_B16,IDRiD,IDRiD,original_full,0.4844961240310077,0.31015253403313103,0.37676412883038385
ViT_B16,IDRiD,IDRiD,degraded,0.4883720930232558,0.31313760865999674,0.3800466244515582
ViT_B16,IDRiD,IDRiD,bicubic_original,0.5157384987893463,0.3152326602282704,0.4217661341281336
ViT_B16,IDRiD,IDRiD,bicubic_degraded,0.5181598062953995,0.31672519754170325,0.4238399286005471
ViT_B16,IDRiD,IDRiD,espcn_original,0.5205811138014528,0.31819578577699736,0.4258827818754229
ViT_B16,IDRiD,IDRiD,espcn_degraded,0.5205811138014528,0.31819578577699736,0.4258827818754229
ViT_B16,IDRiD,IDRiD,fsrcnn_original,0.4794188861985472,0.29280070237050043,0.3895723220000355
ViT_B16,IDRiD,IDRiD,fsrcnn_degraded,0.4794188861985472,0.29280070237050043,0.38905770724791056
ViT_B16,IDRiD,IDRiD,srcnn_original,0.5181598062953995,0.31672519754170325,0.4238399286005471
ViT_B16,IDRiD,IDRiD,srcnn_degraded,0.5205811138014528,0.3182177348551361,0.4259026667019791
ViT_B16,IDRiD,APTOS,original,0.4000546149645003,0.23724145197829408,0.34889062946850186
ViT_B16,IDRiD,APTOS,degraded,0.3959584926269798,0.2357581958689992,0.34421368011699394
ViT_B16,IDRiD,APTOS,bicubic_original,0.4000546149645003,0.23724145197829408,0.34889062946850186
ViT_B16,IDRiD,APTOS,bicubic_degraded,0.3959584926269798,0.2357581958689992,0.34421368011699394
ViT_B16,IDRiD,APTOS,espcn_original,0.3973238667394866,0.2358652281089954,0.3462217376896317
ViT_B16,IDRiD,APTOS,espcn_degraded,0.3921354451119607,0.23429634620770354,0.3397630026576649
ViT_B16,IDRiD,APTOS,fsrcnn_original,0.3926815947569634,0.23281941220999394,0.3416055619968487
ViT_B16,IDRiD,APTOS,fsrcnn_degraded,0.3855816493719279,0.23047490704000398,0.33280779920599257
ViT_B16,IDRiD,APTOS,srcnn_original,0.394593118514473,0.23502538549629964,0.3427804117858986
ViT_B16,IDRiD,APTOS,srcnn_degraded,0.3929546695794648,0.23498634368440463,0.34031753181907215
