train_dataset,eval_dataset,eval_condition,model,accuracy,balanced_accuracy,f1_weighted
IDRiD,IDRiD,bicubic_original,RF,0.9176755447941889,0.8897945575971413,0.9180720688157561
IDRiD,IDRiD,bicubic_degraded,RF,0.9152542372881356,0.8896590011559283,0.9154172266688808
IDRiD,IDRiD,espcn_original,RF,0.910411622276029,0.8782323110769117,0.9108091181713407
IDRiD,IDRiD,espcn_degraded,RF,0.9079903147699758,0.8769085383245676,0.9078380832120183
IDRiD,IDRiD,fsrcnn_original,RF,0.6101694915254238,0.492801997765625,0.5966427412367308
IDRiD,IDRiD,fsrcnn_degraded,RF,0.5980629539951574,0.47653062435139437,0.5835884416781021
IDRiD,IDRiD,srcnn_original,RF,0.9128329297820823,0.878470784844797,0.9128612254557883
IDRiD,IDRiD,srcnn_degraded,RF,0.9031476997578692,0.8699334893295761,0.9030448002887536
IDRiD,APTOS,original,RF,0.4675040961223375,0.32537524252813127,0.44984538914669436
IDRiD,APTOS,degraded,RF,0.4508465319497542,0.32937022528988097,0.4412641957327755
IDRiD,APTOS,bicubic_original,RF,0.4677771709448389,0.3255754427283315,0.4500091421201394
IDRiD,APTOS,bicubic_degraded,RF,0.4511196067722556,0.32948102861398065,0.4415610955424658
IDRiD,APTOS,espcn_original,RF,0.474604041507373,0.3471027005478281,0.4672624148015921
IDRiD,APTOS,espcn_degraded,RF,0.4508465319497542,0.3332026272103782,0.4540903577644715
IDRiD,APTOS,fsrcnn_original,RF,0.3539049699617695,0.260037318628145,0.33895596179207665
IDRiD,APTOS,fsrcnn_degraded,RF,0.3369743309666849,0.2615320371254229,0.32742932657993
IDRiD,APTOS,srcnn_original,RF,0.4595849262697979,0.3184315320473602,0.4454754273960369
IDRiD,APTOS,srcnn_degraded,RF,0.4399235390496996,0.32703312923386985,0.4361188190622803
IDRiD,IDRiD,original_val,XGB,0.5288461538461539,0.3719069069069069,0.4798582995951417
IDRiD,IDRiD,degraded,XGB,0.8953488372093024,0.852492269072733,0.89457306688027
IDRiD,IDRiD,bicubic_original,XGB,0.9176755447941889,0.8837293747672528,0.9176270567856679
IDRiD,IDRiD,bicubic_degraded,XGB,0.9200968523002422,0.8709209484519906,0.9192635771207175
IDRiD,IDRiD,espcn_original,XGB,0.9176755447941889,0.8863623682631584,0.9173996492106896
IDRiD,IDRiD,espcn_degraded,XGB,0.9152542372881356,0.8678549055765913,0.9143840428052529
IDRiD,IDRiD,fsrcnn_original,XGB,0.6610169491525424,0.5148454218314998,0.6422955353417376
IDRiD,IDRiD,fsrcnn_degraded,XGB,0.6658595641646489,0.5192313754868627,0.6458617653532908
IDRiD,IDRiD,srcnn_original,XGB,0.9200968523002422,0.8924972602998441,0.9199777170704208
IDRiD,IDRiD,srcnn_degraded,XGB,0.9225181598062954,0.883385177386808,0.9223446279337785
IDRiD,APTOS,original,XGB,0.4355543418896778,0.29131025739227684,0.417587763134441
IDRiD,APTOS,degraded,XGB,0.4276351720371382,0.3127051886714397,0.42098230784535656
IDRiD,APTOS,bicubic_original,XGB,0.4355543418896778,0.29131025739227684,0.417587763134441
IDRiD,APTOS,bicubic_degraded,XGB,0.4276351720371382,0.3127051886714397,0.42098230784535656
IDRiD,APTOS,espcn_original,XGB,0.4565811032222829,0.32598576974851423,0.4491429358129935
IDRiD,APTOS,espcn_degraded,XGB,0.429000546149645,0.3272027950179616,0.4311167861693615
IDRiD,APTOS,fsrcnn_original,XGB,0.4287274713271436,0.2814309357727753,0.40557041702711866
IDRiD,APTOS,fsrcnn_degraded,XGB,0.4014199890770071,0.27241334271082196,0.38454998200064405
IDRiD,APTOS,srcnn_original,XGB,0.4423812124522119,0.3124132695066454,0.4293845999826387
IDRiD,APTOS,srcnn_degraded,XGB,0.4175314036045877,0.3228909610813794,0.41498584551025347
