dataset,image,method,psnr,ssim
APTOS,096436d68d06.png,bicubic,38.55907177346247,0.8946914671313381
APTOS,096436d68d06.png,espcn,35.100494885376335,0.9471283048800417
APTOS,096436d68d06.png,fsrcnn,25.592213722104084,0.7584193253988712
APTOS,096436d68d06.png,srcnn,40.05962843402604,0.9526960174206414
APTOS,09662e462531.png,bicubic,38.30842619810299,0.90076318215954
APTOS,09662e462531.png,espcn,26.416442338768785,0.9555351097720407
APTOS,09662e462531.png,fsrcnn,25.111755997152187,0.8772019191245027
APTOS,09662e462531.png,srcnn,35.24301672973645,0.960968724082447
APTOS,099021fac3c9.png,bicubic,40.464588572636735,0.8841525415687871
APTOS,099021fac3c9.png,espcn,41.0033093894379,0.9575956439897956
APTOS,099021fac3c9.png,fsrcnn,32.90939242082648,0.8938443568556392
APTOS,099021fac3c9.png,srcnn,41.691745618424264,0.9072221304625138
APTOS,09934421c79e.png,bicubic,40.518360875783976,0.8849083901968043
APTOS,09934421c79e.png,espcn,41.086806375545805,0.9610900715718088
APTOS,09934421c79e.png,fsrcnn,34.41659376936486,0.914964497422493
APTOS,09934421c79e.png,srcnn,41.67924724954407,0.9106514067939298
APTOS,09c8323c612e.png,bicubic,36.97197439966211,0.8877588958867272
APTOS,09c8323c612e.png,espcn,36.583120896942496,0.9147407819488236
APTOS,09c8323c612e.png,fsrcnn,33.21596141814988,0.8597340913955119
APTOS,09c8323c612e.png,srcnn,37.181715645997315,0.9259091797394952
APTOS,09f1111a388a.png,bicubic,40.097379201111266,0.8815157077439534
APTOS,09f1111a388a.png,espcn,41.14673558443415,0.9525553558638068
APTOS,09f1111a388a.png,fsrcnn,33.33712237090222,0.895295419331879
APTOS,09f1111a388a.png,srcnn,40.90585979320224,0.9064279708842568
APTOS,0a38b552372d.png,bicubic,36.582564496025526,0.8903550384238273
APTOS,0a38b552372d.png,espcn,34.96122836794385,0.9157583867571925
APTOS,0a38b552372d.png,fsrcnn,28.739367072166615,0.8597438434068958
APTOS,0a38b552372d.png,srcnn,36.25660911470764,0.9208145801035292
APTOS,0a4e1a29ffff.png,bicubic,37.22012249797611,0.8834356320611737
APTOS,0a4e1a29ffff.png,espcn,36.907444664329965,0.915892741065225
APTOS,0a4e1a29ffff.png,fsrcnn,31.097044827667034,0.8664841243844208
APTOS,0a4e1a29ffff.png,srcnn,37.644485651877766,0.9203221627105486
APTOS,0a74c92e287c.png,bicubic,40.00376818856754,0.8813375013328485
APTOS,0a74c92e287c.png,espcn,40.895246176083624,0.9512086460598557
APTOS,0a74c92e287c.png,fsrcnn,34.056725892724174,0.9029564157147295
APTOS,0a74c92e287c.png,srcnn,40.72657231059115,0.9039830324861965
APTOS,0a85a1e8f9e9.png,bicubic,38.29562077302897,0.9023590135699534
APTOS,0a85a1e8f9e9.png,espcn,32.545722029267075,0.9493540177612307
APTOS,0a85a1e8f9e9.png,fsrcnn,26.920047597428308,0.8299232062500526
APTOS,0a85a1e8f9e9.png,srcnn,37.75263867040787,0.9535510684557443
APTOS,0a902c80d5da.png,bicubic,37.85618080864202,0.902767797566752
APTOS,0a902c80d5da.png,espcn,37.039165452762674,0.9327080877419268
APTOS,0a902c80d5da.png,fsrcnn,32.83124997998756,0.8766175874051821
APTOS,0a902c80d5da.png,srcnn,37.885584476706356,0.9420811236949825
APTOS,0abf0c485f66.png,bicubic,38.94818651663827,0.8847569427387376
APTOS,0abf0c485f66.png,espcn,38.80378725273328,0.9591794757981216
APTOS,0abf0c485f66.png,fsrcnn,31.123653505746027,0.9139450139264357
APTOS,0abf0c485f66.png,srcnn,39.26953286962101,0.9041633292846786
APTOS,0ae2dd2e09ea.png,bicubic,37.86493287255168,0.9034557068355521
APTOS,0ae2dd2e09ea.png,espcn,37.4044243252405,0.9388991233851159
APTOS,0ae2dd2e09ea.png,fsrcnn,29.840417330928414,0.8505654069088556
APTOS,0ae2dd2e09ea.png,srcnn,37.988183317223175,0.9440239091722886
APTOS,0afbeeef0ff7.png,bicubic,38.02282852562659,0.8942383670338425
APTOS,0afbeeef0ff7.png,espcn,37.74625484241123,0.9317072416192834
APTOS,0afbeeef0ff7.png,fsrcnn,32.76284150342023,0.8804692372620249
APTOS,0afbeeef0ff7.png,srcnn,38.07227529755999,0.927621332721578
APTOS,0b00f8a77510.png,bicubic,39.25920972211839,0.8943881789197023
APTOS,0b00f8a77510.png,espcn,41.13940080953786,0.9614735755694106
APTOS,0b00f8a77510.png,fsrcnn,35.23972593493602,0.9301738206789222
APTOS,0b00f8a77510.png,srcnn,41.397289098194065,0.9435286018216368
APTOS,0b2ea8f268cf.png,bicubic,38.864860194255144,0.8945367326604736
APTOS,0b2ea8f268cf.png,espcn,40.39405965043286,0.9638251248299232
APTOS,0b2ea8f268cf.png,fsrcnn,35.060264875000435,0.9386979104584358
APTOS,0b2ea8f268cf.png,srcnn,40.33444943444935,0.9433597275735637
APTOS,0b3efe669365.png,bicubic,40.71166458535319,0.8856719268387004
APTOS,0b3efe669365.png,espcn,41.492669093220435,0.9611416598873518
APTOS,0b3efe669365.png,fsrcnn,33.1269107955288,0.9041584234084201
APTOS,0b3efe669365.png,srcnn,42.13166398089907,0.9103929604796441
APTOS,0b64a0a06f9a.png,bicubic,39.01227345281778,0.8992307492287789
APTOS,0b64a0a06f9a.png,espcn,38.76332076882218,0.9675881774539669
APTOS,0b64a0a06f9a.png,fsrcnn,32.909755040688246,0.9452095600031526
APTOS,0b64a0a06f9a.png,srcnn,40.16962020557547,0.9473442531830477
APTOS,0b8bdec9d869.png,bicubic,37.565398848828785,0.8815486028685452
APTOS,0b8bdec9d869.png,espcn,37.84538569927347,0.9613789585077385
APTOS,0b8bdec9d869.png,fsrcnn,31.502068755762007,0.9591420525316415
APTOS,0b8bdec9d869.png,srcnn,38.02358758294483,0.902328130299129
APTOS,0babc12807b2.png,bicubic,37.85424866172027,0.8951898577272948
APTOS,0babc12807b2.png,espcn,39.308437719471634,0.9522223897042393
APTOS,0babc12807b2.png,fsrcnn,37.128397504234584,0.9041306890851123
APTOS,0babc12807b2.png,srcnn,38.95032280927256,0.9512250066250679
APTOS,0c38940e1f80.png,bicubic,38.964061101064715,0.8889276551246267
APTOS,0c38940e1f80.png,espcn,39.4421093830877,0.9663748925767672
APTOS,0c38940e1f80.png,fsrcnn,29.553795501993392,0.9057128613070863
APTOS,0c38940e1f80.png,srcnn,39.47449300897547,0.9070436140710317
APTOS,0c43c79e8cfb.png,bicubic,38.46447209057253,0.9017651217591238
APTOS,0c43c79e8cfb.png,espcn,34.669600437117936,0.9495892806465128
APTOS,0c43c79e8cfb.png,fsrcnn,25.263273901649164,0.7442309597505394
APTOS,0c43c79e8cfb.png,srcnn,38.96928673142342,0.9531330084146407
APTOS,0cae727cf119.png,bicubic,37.825109721723244,0.8823234879245074
APTOS,0cae727cf119.png,espcn,37.615270769651204,0.9596856168004484
APTOS,0cae727cf119.png,fsrcnn,30.309068224269723,0.9475032453993272
APTOS,0cae727cf119.png,srcnn,37.98504168607719,0.8991480582974308
APTOS,0cb6b898389f.png,bicubic,38.09493926702742,0.8877465269049111
APTOS,0cb6b898389f.png,espcn,37.72641879067142,0.9715905852592824
APTOS,0cb6b898389f.png,fsrcnn,28.39926629414421,0.9598149510609976
APTOS,0cb6b898389f.png,srcnn,38.549711926423626,0.9122404138892124
APTOS,0cbcc7b23613.png,bicubic,39.366567766720465,0.8999108334757411
APTOS,0cbcc7b23613.png,espcn,33.61401313982078,0.9608471771184216
APTOS,0cbcc7b23613.png,fsrcnn,23.545932681120718,0.677974477419383
APTOS,0cbcc7b23613.png,srcnn,41.85974898132561,0.9728290338391129
APTOS,0cd31078cd08.png,bicubic,37.742736899850925,0.8822270432575512
APTOS,0cd31078cd08.png,espcn,36.55232894463079,0.9558862216400503
APTOS,0cd31078cd08.png,fsrcnn,29.97784789369662,0.9285784809894269
APTOS,0cd31078cd08.png,srcnn,37.71197568576085,0.9012467413831412
APTOS,0ce062f26edc.png,bicubic,37.927691067563394,0.8982150284132256
APTOS,0ce062f26edc.png,espcn,35.95594408535044,0.9555102137806119
APTOS,0ce062f26edc.png,fsrcnn,30.935180802025073,0.9100542809912109
APTOS,0ce062f26edc.png,srcnn,37.6637215296203,0.9343533237991292
APTOS,0cecc2864b7f.png,bicubic,38.98705773960171,0.8948813626042571
APTOS,0cecc2864b7f.png,espcn,40.765285920717105,0.9665755890813328
APTOS,0cecc2864b7f.png,fsrcnn,35.48827979225615,0.9483692766830772
APTOS,0cecc2864b7f.png,srcnn,40.551097942129786,0.9453968458480557
APTOS,0d0b8fc9ab5c.png,bicubic,37.7663966986068,0.882602615306201
APTOS,0d0b8fc9ab5c.png,espcn,37.39513316367876,0.9554478091944075
APTOS,0d0b8fc9ab5c.png,fsrcnn,30.374954358020556,0.9330783679034124
APTOS,0d0b8fc9ab5c.png,srcnn,37.93549136707874,0.8990446013781135
APTOS,0d744aed4d64.png,bicubic,36.881875587509164,0.8943504363359406
APTOS,0d744aed4d64.png,espcn,36.12213454643077,0.924707613349486
APTOS,0d744aed4d64.png,fsrcnn,30.639941179441635,0.8697076208527822
APTOS,0d744aed4d64.png,srcnn,37.138605642034584,0.9359204757165257
APTOS,0d8f60ed9280.png,bicubic,40.8530347347798,0.8853392637260455
APTOS,0d8f60ed9280.png,espcn,40.48118782280315,0.9602248459282278
APTOS,0d8f60ed9280.png,fsrcnn,31.903578265667573,0.884633699832852
APTOS,0d8f60ed9280.png,srcnn,42.364291143759225,0.910016720754855
APTOS,0d9a9896f801.png,bicubic,37.69930162487865,0.8877493051580233
APTOS,0d9a9896f801.png,espcn,37.52170322429295,0.9218873362794427
APTOS,0d9a9896f801.png,fsrcnn,31.19222503033443,0.8620707802419134
APTOS,0d9a9896f801.png,srcnn,37.92426480146941,0.9196093932427774
APTOS,0da321efbce6.png,bicubic,39.418582860689405,0.8972741257950384
APTOS,0da321efbce6.png,espcn,41.474750579221066,0.9664458171209279
APTOS,0da321efbce6.png,fsrcnn,34.55347843332868,0.9363653642415996
APTOS,0da321efbce6.png,srcnn,41.46218379599862,0.9457300433932311
APTOS,0da632ca45e0.png,bicubic,40.42173952904488,0.8832898083029755
APTOS,0da632ca45e0.png,espcn,40.186976645112864,0.9555883978158978
APTOS,0da632ca45e0.png,fsrcnn,32.102975724337114,0.8873324446794465
APTOS,0da632ca45e0.png,srcnn,41.3836230616016,0.9032294387392641
APTOS,0daddc45d832.png,bicubic,37.19615158284747,0.8876836070394255
APTOS,0daddc45d832.png,espcn,36.95296136293662,0.9169203210970703
APTOS,0daddc45d832.png,fsrcnn,33.226155654561566,0.8612771230061588
APTOS,0daddc45d832.png,srcnn,37.557020478248745,0.9267070303396618
APTOS,0db1d8dcf219.png,bicubic,38.088688572724145,0.8829960741348314
APTOS,0db1d8dcf219.png,espcn,38.25348369162593,0.9591787439117683
APTOS,0db1d8dcf219.png,fsrcnn,33.04189981695798,0.9484248831374122
